Ward Name,La Name,Ward Code,La Code
Old Harlow,Harlow,E07000073,E05004186
Toddbrook,Harlow,E05004189,E07000073
Harlow Common,Harlow,E05004182,E07000073
Church Langley,Harlow,E05004180,E07000073
Bush Fair,Harlow,E05004179,E07000073
Staple Tye,Harlow,E05004187,E07000073
Great Parndon,Harlow,E05004181,E07000073
Sumners and Kingsmoor,Harlow,E05004188,E07000073
Little Parndon and Hare Street,Harlow,E05004183,E07000073
Mark Hall,Harlow,E05004184,E07000073
Netteswell,Harlow,E05004185,E07000073
