Ward Name,La Name,Ward Code,La Code
Castle,Hastings,E07000062,E05011204
Ashdown,Hastings,E05011201,E07000062
Braybrooke,Hastings,E05011203,E07000062
Gensing,Hastings,E05011207,E07000062
Central St Leonards,Hastings,E05011205,E07000062
Silverhill,Hastings,E05011213,E07000062
Wishing Tree,Hastings,E05011216,E07000062
Ore,Hastings,E05011211,E07000062
St Helens,Hastings,E05011212,E07000062
Baird,Hastings,E05011202,E07000062
Conquest,Hastings,E05011206,E07000062
Old Hastings,Hastings,E05011210,E07000062
Tressell,Hastings,E05011214,E07000062
Hollington,Hastings,E05011208,E07000062
West St Leonards,Hastings,E05011215,E07000062
Maze Hill,Hastings,E05011209,E07000062
