Ward Name,La Name,Ward Code,La Code
Penyard,"Herefordshire, County of",E06000019,E05009476
Kerne Bridge,"Herefordshire, County of",E05009462,E06000019
Widemarsh,"Herefordshire, County of",E05009489,E06000019
Holmer,"Herefordshire, County of",E05009460,E06000019
Tupsley,"Herefordshire, County of",E05009486,E06000019
Backbury,"Herefordshire, County of",E05009440,E06000019
Aylestone Hill,"Herefordshire, County of",E05009439,E06000019
College,"Herefordshire, County of",E05009450,E06000019
Eign Hill,"Herefordshire, County of",E05009453,E06000019
Central,"Herefordshire, County of",E05009449,E06000019
Queenswood,"Herefordshire, County of",E05012958,E06000019
Sutton Walls,"Herefordshire, County of",E05012960,E06000019
Hampton,"Herefordshire, County of",E05009458,E06000019
Hagley,"Herefordshire, County of",E05009457,E06000019
Three Crosses,"Herefordshire, County of",E05009485,E06000019
Old Gore,"Herefordshire, County of",E05009475,E06000019
Golden Valley South,"Herefordshire, County of",E05009455,E06000019
Wormside,"Herefordshire, County of",E05009490,E06000019
Golden Valley North,"Herefordshire, County of",E05009454,E06000019
Birch,"Herefordshire, County of",E05009442,E06000019
Hinton & Hunderton,"Herefordshire, County of",E05009459,E06000019
Saxon Gate,"Herefordshire, County of",E05009482,E06000019
Dinedor Hill,"Herefordshire, County of",E05009452,E06000019
Newton Farm,"Herefordshire, County of",E05009474,E06000019
Belmont Rural,"Herefordshire, County of",E05009441,E06000019
Red Hill,"Herefordshire, County of",E05009478,E06000019
Castle,"Herefordshire, County of",E05009448,E06000019
Llangarron,"Herefordshire, County of",E05009472,E06000019
Stoney Street,"Herefordshire, County of",E05012959,E06000019
Arrow,"Herefordshire, County of",E05009438,E06000019
Greyfriars,"Herefordshire, County of",E05009456,E06000019
Whitecross,"Herefordshire, County of",E05009488,E06000019
Kings Acre,"Herefordshire, County of",E05009463,E06000019
Bobblestock,"Herefordshire, County of",E05009445,E06000019
Credenhill,"Herefordshire, County of",E05012957,E06000019
Weobley,"Herefordshire, County of",E05009487,E06000019
Kington,"Herefordshire, County of",E05009464,E06000019
Leominster East,"Herefordshire, County of",E05009468,E06000019
Leominster West,"Herefordshire, County of",E05009471,E06000019
Leominster North & Rural,"Herefordshire, County of",E05009469,E06000019
Bircher,"Herefordshire, County of",E05009443,E06000019
Leominster South,"Herefordshire, County of",E05009470,E06000019
Mortimer,"Herefordshire, County of",E05009473,E06000019
Bromyard Bringsty,"Herefordshire, County of",E05009446,E06000019
Bromyard West,"Herefordshire, County of",E05009447,E06000019
Bishops Frome & Cradley,"Herefordshire, County of",E05009444,E06000019
Ledbury North,"Herefordshire, County of",E05009465,E06000019
Ledbury South,"Herefordshire, County of",E05009466,E06000019
Hope End,"Herefordshire, County of",E05009461,E06000019
Ledbury West,"Herefordshire, County of",E05009467,E06000019
Ross East,"Herefordshire, County of",E05009479,E06000019
Ross West,"Herefordshire, County of",E05009481,E06000019
Ross North,"Herefordshire, County of",E05009480,E06000019
