Ward Name,La Name,Ward Code,La Code
Shenley,Hertsmere,E07000098,E05012192
Aldenham West,Hertsmere,E05012178,E07000098
Bentley Heath & The Royds,Hertsmere,E05012179,E07000098
Potters Bar Furzefield,Hertsmere,E05012189,E07000098
Potters Bar Parkfield,Hertsmere,E05012191,E07000098
Potters Bar Oakmere,Hertsmere,E05012190,E07000098
Bushey Heath,Hertsmere,E05012184,E07000098
Bushey North,Hertsmere,E05012185,E07000098
Bushey St James,Hertsmere,E05012187,E07000098
Bushey Park,Hertsmere,E05012186,E07000098
Borehamwood Brookmeadow,Hertsmere,E05012180,E07000098
Borehamwood Cowley Hill,Hertsmere,E05012181,E07000098
Borehamwood Hillside,Hertsmere,E05012182,E07000098
Borehamwood Kenilworth,Hertsmere,E05012183,E07000098
Elstree,Hertsmere,E05012188,E07000098
Aldenham East,Hertsmere,E05012177,E07000098
