Ward Name,La Name,Ward Code,La Code
Hope Valley,High Peak,E07000037,E05010636
New Mills West,High Peak,E05010640,E07000037
Sett,High Peak,E05010644,E07000037
New Mills East,High Peak,E05010639,E07000037
Hayfield,High Peak,E05010635,E07000037
Blackbrook,High Peak,E05010624,E07000037
Chapel West,High Peak,E05010628,E07000037
Chapel East,High Peak,E05010627,E07000037
Limestone Peak,High Peak,E05010638,E07000037
Whaley Bridge,High Peak,E05010649,E07000037
Gamesley,High Peak,E05010632,E07000037
Howard Town,High Peak,E05010637,E07000037
Padfield,High Peak,E05010642,E07000037
Hadfield North,High Peak,E05010633,E07000037
Tintwistle,High Peak,E05010648,E07000037
St John's,High Peak,E05010643,E07000037
Hadfield South,High Peak,E05010634,E07000037
Whitfield,High Peak,E05010650,E07000037
Simmondley,High Peak,E05010645,E07000037
Dinting,High Peak,E05010631,E07000037
Old Glossop,High Peak,E05010641,E07000037
Burbage,High Peak,E05010625,E07000037
Corbar,High Peak,E05010629,E07000037
Buxton Central,High Peak,E05010626,E07000037
Temple,High Peak,E05010647,E07000037
Stone Bench,High Peak,E05010646,E07000037
Barms,High Peak,E05010623,E07000037
Cote Heath,High Peak,E05010630,E07000037
