Ward Name,La Name,Ward Code,La Code
Badenoch and Strathspey,Highland,S12000017,S13003009
Inverness Central,Highland,S13003003,S12000017
Inverness Millburn,Highland,S13003005,S12000017
Black Isle,Highland,S13002998,S12000017
Inverness South,Highland,S13003008,S12000017
Culloden and Ardersier,Highland,S13003006,S12000017
Inverness Ness-side,Highland,S13003004,S12000017
Dingwall and Seaforth,Highland,S13002997,S12000017
Aird and Loch Ness,Highland,S13003001,S12000017
Nairn and Cawdor,Highland,S13003007,S12000017
Inverness West,Highland,S13003002,S12000017
"Wester Ross, Strathpeffer and Lochalsh",Highland,S13002994,S12000017
Cromarty Firth,Highland,S13002995,S12000017
Tain and Easter Ross,Highland,S13002996,S12000017
East Sutherland and Edderton,Highland,S13002993,S12000017
"North, West and Central Sutherland",Highland,S13002990,S12000017
Eilean á Chèo,Highland,S13002999,S12000017
Wick and East Caithness,Highland,S13002992,S12000017
Thurso and Northwest Caithness,Highland,S13002991,S12000017
Fort William and Ardnamurchan,Highland,S13003010,S12000017
Caol and Mallaig,Highland,S13003000,S12000017
