Ward Name,La Name,Ward Code,La Code
Great Paxton,Huntingdonshire,E07000011,E05011261
Kimbolton,Huntingdonshire,E05011267,E07000011
Great Staughton,Huntingdonshire,E05011262,E07000011
Ramsey,Huntingdonshire,E05011268,E07000011
Warboys,Huntingdonshire,E05011280,E07000011
Sawtry,Huntingdonshire,E05011276,E07000011
"Stilton, Folksworth & Washingley",Huntingdonshire,E05011278,E07000011
Hemingford Grey & Houghton,Huntingdonshire,E05011263,E07000011
Huntingdon North,Huntingdonshire,E05011266,E07000011
Holywell-cum-Needingworth,Huntingdonshire,E05011264,E07000011
Somersham,Huntingdonshire,E05011277,E07000011
St Ives South,Huntingdonshire,E05011270,E07000011
St Ives East,Huntingdonshire,E05011269,E07000011
St Ives West,Huntingdonshire,E05011271,E07000011
The Stukeleys,Huntingdonshire,E05011279,E07000011
Alconbury,Huntingdonshire,E05011256,E07000011
Brampton,Huntingdonshire,E05011257,E07000011
Huntingdon East,Huntingdonshire,E05011265,E07000011
Godmanchester & Hemingford Abbots,Huntingdonshire,E05011260,E07000011
Buckden,Huntingdonshire,E05011258,E07000011
Fenstanton,Huntingdonshire,E05011259,E07000011
St Neots East,Huntingdonshire,E05011272,E07000011
St Neots Priory Park & Little Paxton,Huntingdonshire,E05011275,E07000011
St Neots Eynesbury,Huntingdonshire,E05011274,E07000011
St Neots Eatons,Huntingdonshire,E05011273,E07000011
Yaxley,Huntingdonshire,E05011281,E07000011
