Ward Name,La Name,Ward Code,La Code
St Oswald's,Hyndburn,E07000120,E05005220
Immanuel,Hyndburn,E05005213,E07000120
Rishton,Hyndburn,E05005218,E07000120
Overton,Hyndburn,E05005216,E07000120
Central,Hyndburn,E05005209,E07000120
Church,Hyndburn,E05005210,E07000120
Spring Hill,Hyndburn,E05005221,E07000120
St Andrew's,Hyndburn,E05005219,E07000120
Barnfield,Hyndburn,E05005207,E07000120
Peel,Hyndburn,E05005217,E07000120
Milnshaw,Hyndburn,E05005214,E07000120
Baxenden,Hyndburn,E05005208,E07000120
Altham,Hyndburn,E05005206,E07000120
Clayton-le-Moors,Hyndburn,E05005211,E07000120
Huncoat,Hyndburn,E05005212,E07000120
Netherton,Hyndburn,E05005215,E07000120
