Ward Name,La Name,Ward Code,La Code
Alexandra,Ipswich,E07000202,E05007117
Gipping,Ipswich,E05007122,E07000202
Bridge,Ipswich,E05007119,E07000202
Westgate,Ipswich,E05007130,E07000202
St Margaret's,Ipswich,E05007127,E07000202
Castle Hill,Ipswich,E05007120,E07000202
Whitton,Ipswich,E05007132,E07000202
Whitehouse,Ipswich,E05007131,E07000202
Priory Heath,Ipswich,E05007124,E07000202
Sprites,Ipswich,E05007128,E07000202
Stoke Park,Ipswich,E05007129,E07000202
Gainsborough,Ipswich,E05007121,E07000202
Holywells,Ipswich,E05007123,E07000202
St John's,Ipswich,E05007126,E07000202
Bixley,Ipswich,E05007118,E07000202
Rushmere,Ipswich,E05007125,E07000202
