Ward Name,La Name,Ward Code,La Code
Seiriol,Isle of Anglesey,W06000001,W05000988
Aethwy,Isle of Anglesey,W05000981,W06000001
Ynys Gybi,Isle of Anglesey,W05000991,W06000001
Bro Rhosyr,Isle of Anglesey,W05000983,W06000001
Bro Aberffraw,Isle of Anglesey,W05000982,W06000001
Canolbarth Môn,Isle of Anglesey,W05000985,W06000001
Llifôn,Isle of Anglesey,W05000986,W06000001
Caergybi,Isle of Anglesey,W05000984,W06000001
Talybolion,Isle of Anglesey,W05000989,W06000001
Twrcelyn,Isle of Anglesey,W05000990,W06000001
Lligwy,Isle of Anglesey,W05000987,W06000001
