Ward Name,La Name,Ward Code,La Code
Mildmay,Islington,E09000019,E05000377
Clerkenwell,Islington,E05000370,E09000019
Bunhill,Islington,E05000367,E09000019
St Peter's,Islington,E05000380,E09000019
Caledonian,Islington,E05000368,E09000019
St Mary's,Islington,E05000379,E09000019
Barnsbury,Islington,E05000366,E09000019
Canonbury,Islington,E05000369,E09000019
Highbury East,Islington,E05000372,E09000019
Junction,Islington,E05000376,E09000019
Tollington,Islington,E05000381,E09000019
Hillrise,Islington,E05000374,E09000019
St George's,Islington,E05000378,E09000019
Highbury West,Islington,E05000373,E09000019
Finsbury Park,Islington,E05000371,E09000019
Holloway,Islington,E05000375,E09000019
