Ward Name,La Name,Ward Code,La Code
Chelsea Riverside,Kensington and Chelsea,E09000020,E05009391
Stanley,Kensington and Chelsea,E05009405,E09000020
Redcliffe,Kensington and Chelsea,E05009402,E09000020
Courtfield,Kensington and Chelsea,E05009393,E09000020
Abingdon,Kensington and Chelsea,E05009388,E09000020
Royal Hospital,Kensington and Chelsea,E05009403,E09000020
Brompton & Hans Town,Kensington and Chelsea,E05009389,E09000020
Earl's Court,Kensington and Chelsea,E05009395,E09000020
Queen's Gate,Kensington and Chelsea,E05009401,E09000020
Dalgarno,Kensington and Chelsea,E05009394,E09000020
Golborne,Kensington and Chelsea,E05009396,E09000020
Colville,Kensington and Chelsea,E05009392,E09000020
St. Helen's,Kensington and Chelsea,E05009404,E09000020
Notting Dale,Kensington and Chelsea,E05009399,E09000020
Norland,Kensington and Chelsea,E05009398,E09000020
Pembridge,Kensington and Chelsea,E05009400,E09000020
Campden,Kensington and Chelsea,E05009390,E09000020
Holland,Kensington and Chelsea,E05009397,E09000020
