Ward Name,La Name,Ward Code,La Code
Birstall and Birkenshaw,Kirklees,E08000034,E05001392
Cleckheaton,Kirklees,E05001393,E08000034
Liversedge and Gomersal,Kirklees,E05001408,E08000034
Newsome,Kirklees,E05001410,E08000034
Dalton,Kirklees,E05001396,E08000034
Ashbrow,Kirklees,E05001389,E08000034
Greenhead,Kirklees,E05001402,E08000034
Lindley,Kirklees,E05001407,E08000034
Crosland Moor and Netherton,Kirklees,E05008560,E08000034
Golcar,Kirklees,E05001401,E08000034
Almondbury,Kirklees,E05008558,E08000034
Colne Valley,Kirklees,E05008559,E08000034
Kirkburton,Kirklees,E05008562,E08000034
Holme Valley North,Kirklees,E05008561,E08000034
Holme Valley South,Kirklees,E05001405,E08000034
Mirfield,Kirklees,E05001409,E08000034
Denby Dale,Kirklees,E05001397,E08000034
Dewsbury South,Kirklees,E05001399,E08000034
Dewsbury West,Kirklees,E05001400,E08000034
Dewsbury East,Kirklees,E05001398,E08000034
Batley East,Kirklees,E05001390,E08000034
Batley West,Kirklees,E05001391,E08000034
Heckmondwike,Kirklees,E05001403,E08000034
