Ward Name,La Name,Ward Code,La Code
Streatham South,Lambeth,E09000022,E05000431
Bishop's,Lambeth,E05000416,E09000022
Prince's,Lambeth,E05000427,E09000022
Oval,Lambeth,E05000426,E09000022
Gipsy Hill,Lambeth,E05000422,E09000022
Knight's Hill,Lambeth,E05000424,E09000022
Thurlow Park,Lambeth,E05000434,E09000022
Herne Hill,Lambeth,E05000423,E09000022
Coldharbour,Lambeth,E05000420,E09000022
Streatham Hill,Lambeth,E05000430,E09000022
Vassall,Lambeth,E05000436,E09000022
Thornton,Lambeth,E05000433,E09000022
Clapham Common,Lambeth,E05000418,E09000022
St Leonard's,Lambeth,E05000428,E09000022
Streatham Wells,Lambeth,E05000432,E09000022
Tulse Hill,Lambeth,E05000435,E09000022
Brixton Hill,Lambeth,E05000417,E09000022
Ferndale,Lambeth,E05000421,E09000022
Clapham Town,Lambeth,E05000419,E09000022
Stockwell,Lambeth,E05000429,E09000022
Larkhall,Lambeth,E05000425,E09000022
