Ward Name,La Name,Ward Code,La Code
Castle,Leicester,E06000016,E05010463
Wycliffe,Leicester,E05010478,E06000016
Belgrave,Leicester,E05010461,E06000016
Abbey,Leicester,E05010458,E06000016
Fosse,Leicester,E05010466,E06000016
North Evington,Leicester,E05010469,E06000016
Stoneygate,Leicester,E05010473,E06000016
Spinney Hills,Leicester,E05010472,E06000016
Knighton,Leicester,E05010468,E06000016
Evington,Leicester,E05010464,E06000016
Saffron,Leicester,E05010471,E06000016
Aylestone,Leicester,E05010459,E06000016
Eyres Monsell,Leicester,E05010465,E06000016
Westcotes,Leicester,E05010476,E06000016
Braunstone Park & Rowley Fields,Leicester,E05010462,E06000016
Western,Leicester,E05010477,E06000016
Beaumont Leys,Leicester,E05010460,E06000016
Rushey Mead,Leicester,E05010470,E06000016
Troon,Leicester,E05010475,E06000016
Humberstone & Hamilton,Leicester,E05010467,E06000016
Thurncourt,Leicester,E05010474,E06000016
