Ward Name,La Name,Ward Code,La Code
Downham,Lewisham,E09000023,E05000442
Whitefoot,Lewisham,E05000454,E09000023
Bellingham,Lewisham,E05000437,E09000023
Blackheath,Lewisham,E05000438,E09000023
Lee Green,Lewisham,E05000447,E09000023
Grove Park,Lewisham,E05000445,E09000023
Lewisham Central,Lewisham,E05000448,E09000023
Rushey Green,Lewisham,E05000451,E09000023
Ladywell,Lewisham,E05000446,E09000023
Brockley,Lewisham,E05000439,E09000023
Telegraph Hill,Lewisham,E05000453,E09000023
New Cross,Lewisham,E05000449,E09000023
Evelyn,Lewisham,E05000443,E09000023
Crofton Park,Lewisham,E05000441,E09000023
Perry Vale,Lewisham,E05000450,E09000023
Forest Hill,Lewisham,E05000444,E09000023
Sydenham,Lewisham,E05000452,E09000023
Catford South,Lewisham,E05000440,E09000023
