Ward Name,La Name,Ward Code,La Code
Little Aston & Stonnall,Lichfield,E07000194,E05010665
Bourne Vale,Lichfield,E05010655,E07000194
Whittington & Streethay,Lichfield,E05010672,E07000194
Fazeley,Lichfield,E05010661,E07000194
Mease Valley,Lichfield,E05010667,E07000194
Alrewas & Fradley,Lichfield,E05010651,E07000194
Armitage with Handsacre,Lichfield,E05010652,E07000194
Stowe,Lichfield,E05010670,E07000194
Leomansley,Lichfield,E05010664,E07000194
Boley Park,Lichfield,E05010653,E07000194
Chadsmead,Lichfield,E05010656,E07000194
Curborough,Lichfield,E05010660,E07000194
Highfield,Lichfield,E05010663,E07000194
Longdon,Lichfield,E05010666,E07000194
Hammerwich with Wall,Lichfield,E05010662,E07000194
St John's,Lichfield,E05010668,E07000194
Shenstone,Lichfield,E05010669,E07000194
Colton & the Ridwares,Lichfield,E05010659,E07000194
Summerfield & All Saints,Lichfield,E05010671,E07000194
Boney Hay & Central,Lichfield,E05010654,E07000194
Chase Terrace,Lichfield,E05010657,E07000194
Chasetown,Lichfield,E05010658,E07000194
