Ward Name,La Name,Ward Code,La Code
Dundonald,Lisburn and Castlereagh,N09000007,N08000715
Graham's Bridge,Lisburn and Castlereagh,N08000719,N09000007
Ballyhanwood,Lisburn and Castlereagh,N08000702,N09000007
Enler,Lisburn and Castlereagh,N08000716,N09000007
Carrowreagh,Lisburn and Castlereagh,N08000709,N09000007
Derryaghy,Lisburn and Castlereagh,N08000712,N09000007
Stonyford,Lisburn and Castlereagh,N08000738,N09000007
Lambeg,Lisburn and Castlereagh,N08000728,N09000007
Drumbo,Lisburn and Castlereagh,N08000714,N09000007
Moneyreagh,Lisburn and Castlereagh,N08000734,N09000007
Carryduff East,Lisburn and Castlereagh,N08000710,N09000007
Dromara,Lisburn and Castlereagh,N08000713,N09000007
Ballymacbrennan,Lisburn and Castlereagh,N08000704,N09000007
Hillsborough,Lisburn and Castlereagh,N08000723,N09000007
Lagan,Lisburn and Castlereagh,N08000726,N09000007
Ravernet,Lisburn and Castlereagh,N08000737,N09000007
Maze,Lisburn and Castlereagh,N08000732,N09000007
Hilden,Lisburn and Castlereagh,N08000721,N09000007
Wallace Park,Lisburn and Castlereagh,N08000739,N09000007
Harmony Hill,Lisburn and Castlereagh,N08000720,N09000007
Magheralave,Lisburn and Castlereagh,N08000731,N09000007
Hillhall,Lisburn and Castlereagh,N08000722,N09000007
Blaris,Lisburn and Castlereagh,N08000707,N09000007
Old Warren,Lisburn and Castlereagh,N08000736,N09000007
Lagan Valley,Lisburn and Castlereagh,N08000727,N09000007
Lisnagarvey,Lisburn and Castlereagh,N08000729,N09000007
Knockmore,Lisburn and Castlereagh,N08000725,N09000007
Ballymacoss,Lisburn and Castlereagh,N08000705,N09000007
Ballinderry,Lisburn and Castlereagh,N08000701,N09000007
Glenavy,Lisburn and Castlereagh,N08000718,N09000007
Maghaberry,Lisburn and Castlereagh,N08000730,N09000007
Ballymacash,Lisburn and Castlereagh,N08000703,N09000007
White Mountain,Lisburn and Castlereagh,N08000740,N09000007
Moira,Lisburn and Castlereagh,N08000733,N09000007
Galwally,Lisburn and Castlereagh,N08000717,N09000007
Newtownbreda,Lisburn and Castlereagh,N08000735,N09000007
Knockbracken,Lisburn and Castlereagh,N08000724,N09000007
Cairnshill,Lisburn and Castlereagh,N08000708,N09000007
Beechill,Lisburn and Castlereagh,N08000706,N09000007
Carryduff West,Lisburn and Castlereagh,N08000711,N09000007
