Ward Name,La Name,Ward Code,La Code
Riverside,Liverpool,E08000012,E05000907
Central,Liverpool,E05000889,E08000012
Princes Park,Liverpool,E05000906,E08000012
Fazakerley,Liverpool,E05000897,E08000012
Croxteth,Liverpool,E05000895,E08000012
West Derby,Liverpool,E05000913,E08000012
Norris Green,Liverpool,E05000903,E08000012
Clubmoor,Liverpool,E05000892,E08000012
Anfield,Liverpool,E05000887,E08000012
Tuebrook and Stoneycroft,Liverpool,E05000910,E08000012
Yew Tree,Liverpool,E05000915,E08000012
Knotty Ash,Liverpool,E05000901,E08000012
Old Swan,Liverpool,E05000904,E08000012
Greenbank,Liverpool,E05000898,E08000012
Picton,Liverpool,E05000905,E08000012
Wavertree,Liverpool,E05000912,E08000012
Kensington and Fairfield,Liverpool,E05000899,E08000012
Childwall,Liverpool,E05000890,E08000012
Church,Liverpool,E05000891,E08000012
Woolton,Liverpool,E05000914,E08000012
Belle Vale,Liverpool,E05000888,E08000012
Mossley Hill,Liverpool,E05000902,E08000012
St Michael's,Liverpool,E05000908,E08000012
Allerton and Hunts Cross,Liverpool,E05000886,E08000012
Cressington,Liverpool,E05000894,E08000012
Speke-Garston,Liverpool,E05000909,E08000012
Warbreck,Liverpool,E05000911,E08000012
Kirkdale,Liverpool,E05000900,E08000012
County,Liverpool,E05000893,E08000012
Everton,Liverpool,E05000896,E08000012
