Ward Name,La Name,Ward Code,La Code
Leagrave,Luton,E06000032,E05002202
South,Luton,E05002208,E06000032
Dallow,Luton,E05002198,E06000032
Biscot,Luton,E05002194,E06000032
Farley,Luton,E05002199,E06000032
Crawley,Luton,E05002197,E06000032
High Town,Luton,E05002200,E06000032
Round Green,Luton,E05002206,E06000032
Icknield,Luton,E05002201,E06000032
Bramingham,Luton,E05002195,E06000032
Barnfield,Luton,E05002193,E06000032
Stopsley,Luton,E05002209,E06000032
Wigmore,Luton,E05002211,E06000032
Saints,Luton,E05002207,E06000032
Limbury,Luton,E05002204,E06000032
Northwell,Luton,E05002205,E06000032
Sundon Park,Luton,E05002210,E06000032
Challney,Luton,E05002196,E06000032
Lewsey,Luton,E05002203,E06000032
