Ward Name,La Name,Ward Code,La Code
Warsop Carrs,Mansfield,E07000174,E05008889
Grange Farm,Mansfield,E05008864,E07000174
Portland,Mansfield,E05008884,E07000174
Woodlands,Mansfield,E05008891,E07000174
Yeoman Hill,Mansfield,E05008892,E07000174
Oakham,Mansfield,E05008880,E07000174
Sherwood,Mansfield,E05008888,E07000174
Ladybrook,Mansfield,E05008869,E07000174
Broomhill,Mansfield,E05008860,E07000174
Carr Bank,Mansfield,E05008862,E07000174
Newgate,Mansfield,E05008877,E07000174
Kingsway,Mansfield,E05008868,E07000174
Sandhurst,Mansfield,E05008887,E07000174
Racecourse,Mansfield,E05008885,E07000174
Ling Forest,Mansfield,E05008871,E07000174
Eakring,Mansfield,E05008863,E07000174
Oak Tree,Mansfield,E05008879,E07000174
Lindhurst,Mansfield,E05008870,E07000174
Kings Walk,Mansfield,E05008867,E07000174
Berry Hill,Mansfield,E05008858,E07000174
Ransom Wood,Mansfield,E05008886,E07000174
Brick Kiln,Mansfield,E05008859,E07000174
Penniment,Mansfield,E05008883,E07000174
Maun Valley,Mansfield,E05008874,E07000174
Holly,Mansfield,E05008865,E07000174
Newlands,Mansfield,E05008878,E07000174
Peafields,Mansfield,E05008882,E07000174
Abbott,Mansfield,E05008857,E07000174
Bull Farm and Pleasley Hill,Mansfield,E05008861,E07000174
Woodhouse,Mansfield,E05008890,E07000174
Park Hall,Mansfield,E05008881,E07000174
Manor,Mansfield,E05008872,E07000174
Market Warsop,Mansfield,E05008873,E07000174
Hornby,Mansfield,E05008866,E07000174
Meden,Mansfield,E05008875,E07000174
Netherfield,Mansfield,E05008876,E07000174
