Ward Name,La Name,Ward Code,La Code
Cyfarthfa,Merthyr Tydfil,W06000024,W05000708
Treharris,Merthyr Tydfil,W05000716,W06000024
Merthyr Vale,Merthyr Tydfil,W05000711,W06000024
Bedlinog,Merthyr Tydfil,W05000707,W06000024
Plymouth,Merthyr Tydfil,W05000714,W06000024
Town,Merthyr Tydfil,W05000715,W06000024
Park,Merthyr Tydfil,W05000712,W06000024
Dowlais,Merthyr Tydfil,W05000709,W06000024
Penydarren,Merthyr Tydfil,W05000713,W06000024
Gurnos,Merthyr Tydfil,W05000710,W06000024
Vaynor,Merthyr Tydfil,W05000895,W06000024
