Ward Name,La Name,Ward Code,La Code
Upper Culm,Mid Devon,E07000042,E05003528
Cullompton North,Mid Devon,E05003516,E07000042
Cullompton South,Mid Devon,E05003518,E07000042
Cullompton Outer,Mid Devon,E05003517,E07000042
Halberton,Mid Devon,E05003519,E07000042
Cadbury,Mid Devon,E05003511,E07000042
Lower Culm,Mid Devon,E05003521,E07000042
Canonsleigh,Mid Devon,E05003512,E07000042
Castle,Mid Devon,E05003513,E07000042
Cranmore,Mid Devon,E05003515,E07000042
Clare and Shuttern,Mid Devon,E05003514,E07000042
Lowman,Mid Devon,E05003522,E07000042
Westexe,Mid Devon,E05003531,E07000042
Sandford and Creedy,Mid Devon,E05003524,E07000042
Way,Mid Devon,E05003530,E07000042
Boniface,Mid Devon,E05008546,E07000042
Newbrooke,Mid Devon,E05008547,E07000042
Lawrence,Mid Devon,E05003520,E07000042
Yeo,Mid Devon,E05008548,E07000042
Taw Vale,Mid Devon,E05003527,E07000042
Upper Yeo,Mid Devon,E05003529,E07000042
Taw,Mid Devon,E05003526,E07000042
Silverton,Mid Devon,E05003525,E07000042
Bradninch,Mid Devon,E05003510,E07000042
