Ward Name,La Name,Ward Code,La Code
Claydon & Barham,Mid Suffolk,E07000203,E05012594
Debenham,Mid Suffolk,E05012596,E07000203
Hoxne & Worlingworth,Mid Suffolk,E05012602,E07000203
Stradbroke & Laxfield,Mid Suffolk,E05012612,E07000203
St Peter's,Mid Suffolk,E05012609,E07000203
Combs Ford,Mid Suffolk,E05012595,E07000203
Chilton,Mid Suffolk,E05012593,E07000203
Onehouse,Mid Suffolk,E05012605,E07000203
Stow Thorney,Mid Suffolk,E05012611,E07000203
Needham Market,Mid Suffolk,E05012604,E07000203
Battisford & Ringshall,Mid Suffolk,E05012590,E07000203
Rattlesden,Mid Suffolk,E05012607,E07000203
"Haughley, Stowupland & Wetherden",Mid Suffolk,E05012601,E07000203
Bacton,Mid Suffolk,E05012589,E07000203
Mendlesham,Mid Suffolk,E05012603,E07000203
Walsham-le-Willows,Mid Suffolk,E05012614,E07000203
Stonham,Mid Suffolk,E05012610,E07000203
Palgrave,Mid Suffolk,E05012606,E07000203
Fressingfield,Mid Suffolk,E05012599,E07000203
Rickinghall,Mid Suffolk,E05012608,E07000203
Gislingham,Mid Suffolk,E05012600,E07000203
Eye,Mid Suffolk,E05012598,E07000203
Thurston,Mid Suffolk,E05012613,E07000203
Elmswell & Woolpit,Mid Suffolk,E05012597,E07000203
Blakenham,Mid Suffolk,E05012591,E07000203
Bramford,Mid Suffolk,E05012592,E07000203
