Ward Name,La Name,Ward Code,La Code
Bletchley East,Milton Keynes,E06000042,E05009406
Bletchley Park,Milton Keynes,E05009407,E06000042
Bletchley West,Milton Keynes,E05009408,E06000042
Woughton & Fishermead,Milton Keynes,E05009424,E06000042
Stantonbury,Milton Keynes,E05009420,E06000042
Bradwell,Milton Keynes,E05009409,E06000042
Central Milton Keynes,Milton Keynes,E05009412,E06000042
Danesborough & Walton,Milton Keynes,E05009413,E06000042
Campbell Park & Old Woughton,Milton Keynes,E05009411,E06000042
Loughton & Shenley,Milton Keynes,E05009414,E06000042
Monkston,Milton Keynes,E05009415,E06000042
Broughton,Milton Keynes,E05009410,E06000042
Stony Stratford,Milton Keynes,E05009421,E06000042
Newport Pagnell South,Milton Keynes,E05009417,E06000042
Wolverton,Milton Keynes,E05009423,E06000042
Newport Pagnell North & Hanslope,Milton Keynes,E05009416,E06000042
Olney,Milton Keynes,E05009418,E06000042
Shenley Brook End,Milton Keynes,E05009419,E06000042
Tattenhoe,Milton Keynes,E05009422,E06000042
