Ward Name,La Name,Ward Code,La Code
Bookham North,Mole Valley,E07000210,E05007312
Fetcham West,Mole Valley,E05007321,E07000210
Box Hill and Headley,Mole Valley,E05007314,E07000210
Ashtead Park,Mole Valley,E05007309,E07000210
"Brockham, Betchworth and Buckland",Mole Valley,E05007315,E07000210
Ashtead Village,Mole Valley,E05007310,E07000210
Ashtead Common,Mole Valley,E05007308,E07000210
Leatherhead North,Mole Valley,E05007323,E07000210
Leatherhead South,Mole Valley,E05007324,E07000210
Fetcham East,Mole Valley,E05007320,E07000210
Bookham South,Mole Valley,E05007313,E07000210
"Capel, Leigh and Newdigate",Mole Valley,E05007316,E07000210
Dorking North,Mole Valley,E05007318,E07000210
Dorking South,Mole Valley,E05007319,E07000210
"Mickleham, Westhumble and Pixham",Mole Valley,E05007326,E07000210
Holmwoods,Mole Valley,E05007322,E07000210
Westcott,Mole Valley,E05007328,E07000210
Leith Hill,Mole Valley,E05007325,E07000210
Okewood,Mole Valley,E05007327,E07000210
Beare Green,Mole Valley,E05007311,E07000210
Charlwood,Mole Valley,E05007317,E07000210
