Ward Name,La Name,Ward Code,La Code
Collingham,Newark and Sherwood,E07000175,E05010070
Farndon & Fernwood,Newark and Sherwood,E05011555,E07000175
Lowdham,Newark and Sherwood,E05010076,E07000175
Dover Beck,Newark and Sherwood,E05010072,E07000175
Trent,Newark and Sherwood,E05010083,E07000175
Rainworth South & Blidworth,Newark and Sherwood,E05010080,E07000175
Edwinstowe & Clipstone,Newark and Sherwood,E05010073,E07000175
Rainworth North & Rufford,Newark and Sherwood,E05010079,E07000175
Farnsfield,Newark and Sherwood,E05010075,E07000175
Sutton-on-Trent,Newark and Sherwood,E05010082,E07000175
Castle,Newark and Sherwood,E05011554,E07000175
Ollerton,Newark and Sherwood,E05010078,E07000175
Boughton,Newark and Sherwood,E05010067,E07000175
Southwell,Newark and Sherwood,E05010081,E07000175
Bilsthorpe,Newark and Sherwood,E05010066,E07000175
Beacon,Newark and Sherwood,E05011553,E07000175
Muskham,Newark and Sherwood,E05010077,E07000175
Bridge,Newark and Sherwood,E05010068,E07000175
Devon,Newark and Sherwood,E05010071,E07000175
Balderton North & Coddington,Newark and Sherwood,E05011552,E07000175
Balderton South,Newark and Sherwood,E05010064,E07000175
