Ward Name,La Name,Ward Code,La Code
Stratford and New Town,Newham,E09000025,E05000492
Manor Park,Newham,E05000488,E09000025
Little Ilford,Newham,E05000487,E09000025
East Ham North,Newham,E05000481,E09000025
Wall End,Newham,E05000493,E09000025
Plaistow North,Newham,E05000489,E09000025
West Ham,Newham,E05000494,E09000025
Plaistow South,Newham,E05000490,E09000025
Canning Town North,Newham,E05000477,E09000025
Green Street West,Newham,E05000486,E09000025
Canning Town South,Newham,E05000478,E09000025
Green Street East,Newham,E05000485,E09000025
Boleyn,Newham,E05000476,E09000025
East Ham South,Newham,E05000482,E09000025
Forest Gate North,Newham,E05000483,E09000025
Forest Gate South,Newham,E05000484,E09000025
Royal Docks,Newham,E05000491,E09000025
Custom House,Newham,E05000479,E09000025
Beckton,Newham,E05000475,E09000025
East Ham Central,Newham,E05000480,E09000025
