Ward Name,La Name,Ward Code,La Code
Dalry and West Kilbride,North Ayrshire,S12000021,S13003037
Irvine South,North Ayrshire,S13003041,S12000021
Irvine East,North Ayrshire,S13003033,S12000021
Irvine West,North Ayrshire,S13003032,S12000021
Kilwinning,North Ayrshire,S13003034,S12000021
Stevenston,North Ayrshire,S13003035,S12000021
Kilbirnie and Beith,North Ayrshire,S13003038,S12000021
Saltcoats,North Ayrshire,S13003040,S12000021
Ardrossan and Arran,North Ayrshire,S13003036,S12000021
North Coast and Cumbraes,North Ayrshire,S13003039,S12000021
