Ward Name,La Name,Ward Code,La Code
Ashover,North East Derbyshire,E07000038,E05012040
Shirland,North East Derbyshire,E05012059,E07000038
Pilsley & Morton,North East Derbyshire,E05012057,E07000038
Killamarsh West,North East Derbyshire,E05012055,E07000038
Ridgeway & Marsh Lane,North East Derbyshire,E05012058,E07000038
Barlow & Holmesfield,North East Derbyshire,E05012041,E07000038
Dronfield North,North East Derbyshire,E05012046,E07000038
Dronfield South,North East Derbyshire,E05012047,E07000038
Gosforth Valley,North East Derbyshire,E05012051,E07000038
Dronfield Woodhouse,North East Derbyshire,E05012048,E07000038
Coal Aston,North East Derbyshire,E05012045,E07000038
Unstone,North East Derbyshire,E05012062,E07000038
Eckington South & Renishaw,North East Derbyshire,E05012050,E07000038
Eckington North,North East Derbyshire,E05012049,E07000038
Killamarsh East,North East Derbyshire,E05012054,E07000038
Wingerworth,North East Derbyshire,E05012063,E07000038
Brampton & Walton,North East Derbyshire,E05012042,E07000038
Grassmoor,North East Derbyshire,E05012052,E07000038
Holmewood & Heath,North East Derbyshire,E05012053,E07000038
North Wingfield Central,North East Derbyshire,E05012056,E07000038
Sutton,North East Derbyshire,E05012060,E07000038
Clay Cross North,North East Derbyshire,E05012043,E07000038
Tupton,North East Derbyshire,E05012061,E07000038
Clay Cross South,North East Derbyshire,E05012044,E07000038
