Ward Name,La Name,Ward Code,La Code
Weston-super-Mare South,North Somerset,E06000024,E05010297
Long Ashton,North Somerset,E05010287,E06000024
Winford,North Somerset,E05010308,E06000024
Blagdon & Churchill,North Somerset,E05010278,E06000024
Wrington,North Somerset,E05010309,E06000024
Congresbury & Puxton,North Somerset,E05010284,E06000024
Backwell,North Somerset,E05010276,E06000024
Nailsea Yeo,North Somerset,E05010290,E06000024
Nailsea Golden Valley,North Somerset,E05010288,E06000024
Nailsea West End,North Somerset,E05010289,E06000024
Nailsea Youngwood,North Somerset,E05010291,E06000024
Yatton,North Somerset,E05010310,E06000024
Banwell & Winscombe,North Somerset,E05010277,E06000024
Pill,North Somerset,E05010292,E06000024
Gordano Valley,North Somerset,E05010285,E06000024
Portishead North,North Somerset,E05010294,E06000024
Portishead South,North Somerset,E05010295,E06000024
Portishead West,North Somerset,E05010296,E06000024
Portishead East,North Somerset,E05010293,E06000024
Clevedon South,North Somerset,E05010280,E06000024
Clevedon West,North Somerset,E05010282,E06000024
Clevedon Yeo,North Somerset,E05010283,E06000024
Clevedon East,North Somerset,E05010279,E06000024
Clevedon Walton,North Somerset,E05010281,E06000024
Weston-super-Mare South Worle,North Somerset,E05010304,E06000024
Weston-super-Mare Kewstoke,North Somerset,E05010300,E06000024
Wick St Lawrence & St Georges,North Somerset,E05010307,E06000024
Weston-super-Mare Mid Worle,North Somerset,E05010301,E06000024
Weston-super-Mare North Worle,North Somerset,E05010303,E06000024
Weston-super-Mare Milton,North Somerset,E05010302,E06000024
Weston-super-Mare Winterstoke,North Somerset,E05010306,E06000024
Weston-super-Mare Hillside,North Somerset,E05010299,E06000024
Weston-super-Mare Central,North Somerset,E05010298,E06000024
Weston-super-Mare Uphill,North Somerset,E05010305,E06000024
Hutton & Locking,North Somerset,E05010286,E06000024
