Ward Name,La Name,Ward Code,La Code
Benton,North Tyneside,E08000022,E05001116
Killingworth,North Tyneside,E05001122,E08000022
Camperdown,North Tyneside,E05001117,E08000022
Valley,North Tyneside,E05001131,E08000022
Longbenton,North Tyneside,E05001123,E08000022
Weetslade,North Tyneside,E05001133,E08000022
Collingwood,North Tyneside,E05001119,E08000022
Northumberland,North Tyneside,E05001126,E08000022
St Mary's,North Tyneside,E05001129,E08000022
Monkseaton South,North Tyneside,E05001125,E08000022
Monkseaton North,North Tyneside,E05001124,E08000022
Whitley Bay,North Tyneside,E05001134,E08000022
Cullercoats,North Tyneside,E05001120,E08000022
Riverside,North Tyneside,E05001128,E08000022
Howdon,North Tyneside,E05001121,E08000022
Wallsend,North Tyneside,E05001132,E08000022
Battle Hill,North Tyneside,E05001115,E08000022
Preston,North Tyneside,E05001127,E08000022
Chirton,North Tyneside,E05001118,E08000022
Tynemouth,North Tyneside,E05001130,E08000022
