Ward Name,La Name,Ward Code,La Code
Thorpe Hamlet,Norwich,E07000148,E05012910
Mancroft,Norwich,E05012906,E07000148
Crome,Norwich,E05012903,E07000148
Lakenham,Norwich,E05012905,E07000148
Town Close,Norwich,E05012911,E07000148
Sewell,Norwich,E05012909,E07000148
Catton Grove,Norwich,E05012902,E07000148
Eaton,Norwich,E05012904,E07000148
Nelson,Norwich,E05012908,E07000148
University,Norwich,E05012912,E07000148
Wensum,Norwich,E05012913,E07000148
Mile Cross,Norwich,E05012907,E07000148
Bowthorpe,Norwich,E05012901,E07000148
