Ward Name,La Name,Ward Code,La Code
St. Ann's,Nottingham,E06000018,E05012287
Castle,Nottingham,E05012277,E06000018
Meadows,Nottingham,E05012285,E06000018
Hyson Green & Arboretum,Nottingham,E05012281,E06000018
Mapperley,Nottingham,E05012284,E06000018
Clifton East,Nottingham,E05012278,E06000018
Clifton West,Nottingham,E05012279,E06000018
Lenton & Wollaton East,Nottingham,E05012283,E06000018
Dales,Nottingham,E05012280,E06000018
Sherwood,Nottingham,E05012288,E06000018
Bilborough,Nottingham,E05012274,E06000018
Berridge,Nottingham,E05012272,E06000018
Basford,Nottingham,E05012271,E06000018
Bulwell Forest,Nottingham,E05012276,E06000018
Bestwood,Nottingham,E05012273,E06000018
Bulwell,Nottingham,E05012275,E06000018
Wollaton West,Nottingham,E05012289,E06000018
Radford,Nottingham,E05012286,E06000018
Leen Valley,Nottingham,E05012282,E06000018
Aspley,Nottingham,E05012270,E06000018
