Ward Name,La Name,Ward Code,La Code
St Nicolas,Nuneaton and Bedworth,E07000219,E05007486
Weddington,Nuneaton and Bedworth,E05007488,E07000219
Camp Hill,Nuneaton and Bedworth,E05007480,E07000219
Abbey,Nuneaton and Bedworth,E05007474,E07000219
Galley Common,Nuneaton and Bedworth,E05007482,E07000219
Wem Brook,Nuneaton and Bedworth,E05007489,E07000219
Arbury,Nuneaton and Bedworth,E05007475,E07000219
Bar Pool,Nuneaton and Bedworth,E05007477,E07000219
Kingswood,Nuneaton and Bedworth,E05007484,E07000219
Slough,Nuneaton and Bedworth,E05007487,E07000219
Attleborough,Nuneaton and Bedworth,E05007476,E07000219
Whitestone,Nuneaton and Bedworth,E05007490,E07000219
Bulkington,Nuneaton and Bedworth,E05007479,E07000219
Heath,Nuneaton and Bedworth,E05007483,E07000219
Exhall,Nuneaton and Bedworth,E05007481,E07000219
Bede,Nuneaton and Bedworth,E05007478,E07000219
Poplar,Nuneaton and Bedworth,E05007485,E07000219
