Ward Name,La Name,Ward Code,La Code
Chadderton South,Oldham,E08000004,E05000722
Chadderton Central,Oldham,E05000720,E08000004
Failsworth East,Oldham,E05000725,E08000004
Failsworth West,Oldham,E05000726,E08000004
St Mary's,Oldham,E05000735,E08000004
Coldhurst,Oldham,E05000723,E08000004
Saddleworth West and Lees,Oldham,E05000733,E08000004
Chadderton North,Oldham,E05000721,E08000004
Werneth,Oldham,E05000738,E08000004
Royton South,Oldham,E05000730,E08000004
Royton North,Oldham,E05000729,E08000004
St James',Oldham,E05000734,E08000004
Waterhead,Oldham,E05000737,E08000004
Shaw,Oldham,E05000736,E08000004
Saddleworth North,Oldham,E05000731,E08000004
Crompton,Oldham,E05000724,E08000004
Saddleworth South,Oldham,E05000732,E08000004
Alexandra,Oldham,E05000719,E08000004
Medlock Vale,Oldham,E05000728,E08000004
Hollinwood,Oldham,E05000727,E08000004
