Ward Name,La Name,Ward Code,La Code
Stoke,Plymouth,E06000026,E05002096
St Peter and the Waterfront,Plymouth,E05002094,E06000026
Plymstock Radford,Plymouth,E05002092,E06000026
Drake,Plymouth,E05002081,E06000026
Sutton and Mount Gould,Plymouth,E05002097,E06000026
Compton,Plymouth,E05002079,E06000026
Devonport,Plymouth,E05002080,E06000026
Ham,Plymouth,E05002084,E06000026
Peverell,Plymouth,E05002087,E06000026
Efford and Lipson,Plymouth,E05002082,E06000026
St Budeaux,Plymouth,E05002093,E06000026
Honicknowle,Plymouth,E05002085,E06000026
Eggbuckland,Plymouth,E05002083,E06000026
Budshead,Plymouth,E05002078,E06000026
Southway,Plymouth,E05002095,E06000026
Moor View,Plymouth,E05002086,E06000026
Plympton Erle,Plymouth,E05002089,E06000026
Plymstock Dunstone,Plymouth,E05002091,E06000026
Plympton Chaddlewood,Plymouth,E05002088,E06000026
Plympton St Mary,Plymouth,E05002090,E06000026
