Ward Name,La Name,Ward Code,La Code
Tawe-Uchaf,Powys,W06000023,W05000349
Talybont-on-Usk,Powys,W05000894,W06000023
Hay,Powys,W05000304,W06000023
Glasbury,Powys,W05000301,W06000023
Gwernyfed,Powys,W05000303,W06000023
Old Radnor,Powys,W05000340,W06000023
Llandrindod East/Llandrindod West,Powys,W05000311,W06000023
Llandrindod North,Powys,W05000312,W06000023
Llandrindod South,Powys,W05000313,W06000023
Llanbadarn Fawr,Powys,W05000308,W06000023
Disserth and Trecoed,Powys,W05000296,W06000023
Llanelwedd,Powys,W05000316,W06000023
Llangunllo,Powys,W05000322,W06000023
Beguildy,Powys,W05000286,W06000023
Llanyre,Powys,W05000329,W06000023
Nantmel,Powys,W05000334,W06000023
Llanafanfawr,Powys,W05000307,W06000023
Builth,Powys,W05000290,W06000023
Bronllys,Powys,W05000289,W06000023
Felin-fâch,Powys,W05000298,W06000023
Llanwrtyd Wells,Powys,W05000328,W06000023
Talgarth,Powys,W05000347,W06000023
Llangors,Powys,W05000321,W06000023
St. David Within,Powys,W05000344,W06000023
St. Mary,Powys,W05000346,W06000023
Bwlch,Powys,W05000291,W06000023
St. John,Powys,W05000345,W06000023
Maescar/Llywel,Powys,W05000331,W06000023
Yscir,Powys,W05000355,W06000023
Rhayader,Powys,W05000342,W06000023
Knighton,Powys,W05000306,W06000023
Presteigne,Powys,W05000341,W06000023
Crickhowell,Powys,W05000294,W06000023
Llangattock,Powys,W05000320,W06000023
Llangynidr,Powys,W05000893,W06000023
Ystradgynlais,Powys,W05000356,W06000023
Ynyscedwyn,Powys,W05000354,W06000023
Cwm-twrch,Powys,W05000295,W06000023
Aber-craf,Powys,W05000284,W06000023
Llanrhaeadr-ym-Mochnant/Llansilin,Powys,W05000326,W06000023
Llanwddyn,Powys,W05000325,W06000023
Llanfyllin,Powys,W05000319,W06000023
Llanfihangel,Powys,W05000318,W06000023
Llansantffraid,Powys,W05000327,W06000023
Churchstoke,Powys,W05000293,W06000023
Dolforwyn,Powys,W05000297,W06000023
Montgomery,Powys,W05000333,W06000023
Berriew,Powys,W05000287,W06000023
Kerry,Powys,W05000305,W06000023
Welshpool Gungrog,Powys,W05000352,W06000023
Newtown East,Powys,W05000336,W06000023
Newtown Central,Powys,W05000335,W06000023
Newtown South,Powys,W05000339,W06000023
Newtown Llanllwchaiarn North,Powys,W05000337,W06000023
Newtown Llanllwchaiarn West,Powys,W05000338,W06000023
Rhiwcynon,Powys,W05000343,W06000023
Caersws,Powys,W05000292,W06000023
Llandinam,Powys,W05000310,W06000023
Blaen Hafren,Powys,W05000288,W06000023
Llanidloes,Powys,W05000324,W06000023
Llanbrynmair,Powys,W05000309,W06000023
Machynlleth,Powys,W05000330,W06000023
Glantwymyn,Powys,W05000300,W06000023
Llanfair Caereinion,Powys,W05000317,W06000023
Banwy,Powys,W05000285,W06000023
Welshpool Castle,Powys,W05000351,W06000023
Welshpool Llanerchyddol,Powys,W05000353,W06000023
Trewern,Powys,W05000350,W06000023
Forden,Powys,W05000299,W06000023
Guilsfield,Powys,W05000302,W06000023
Meifod,Powys,W05000332,W06000023
Llandrinio,Powys,W05000314,W06000023
Llandysilio,Powys,W05000315,W06000023
