Ward Name,La Name,Ward Code,La Code
Fishwick & Frenchwood,Preston,E07000123,E05012198
City Centre,Preston,E05012196,E07000123
St Matthew's,Preston,E05012207,E07000123
Deepdale,Preston,E05012197,E07000123
Plungington,Preston,E05012203,E07000123
Garrison,Preston,E05012199,E07000123
Ribbleton,Preston,E05012206,E07000123
Brookfield,Preston,E05012194,E07000123
Ashton,Preston,E05012193,E07000123
Sharoe Green,Preston,E05012208,E07000123
Lea & Larches,Preston,E05012202,E07000123
Ingol & Cottam,Preston,E05012201,E07000123
Cadley,Preston,E05012195,E07000123
Greyfriars,Preston,E05012200,E07000123
Preston Rural East,Preston,E05012204,E07000123
Preston Rural North,Preston,E05012205,E07000123
