Ward Name,La Name,Ward Code,La Code
Teesville,Redcar and Cleveland,E06000003,E05012457
Coatham,Redcar and Cleveland,E05012439,E06000003
Newcomen,Redcar and Cleveland,E05012449,E06000003
Dormanstown,Redcar and Cleveland,E05012440,E06000003
West Dyke,Redcar and Cleveland,E05012458,E06000003
Wheatlands,Redcar and Cleveland,E05012459,E06000003
Zetland,Redcar and Cleveland,E05012460,E06000003
Kirkleatham,Redcar and Cleveland,E05012445,E06000003
Eston,Redcar and Cleveland,E05012441,E06000003
South Bank,Redcar and Cleveland,E05012456,E06000003
St Germain's,Redcar and Cleveland,E05012452,E06000003
Longbeck,Redcar and Cleveland,E05012448,E06000003
Saltburn,Redcar and Cleveland,E05012453,E06000003
Guisborough,Redcar and Cleveland,E05012443,E06000003
Skelton East,Redcar and Cleveland,E05012454,E06000003
Skelton West,Redcar and Cleveland,E05012455,E06000003
Brotton,Redcar and Cleveland,E05012438,E06000003
Lockwood,Redcar and Cleveland,E05012446,E06000003
Loftus,Redcar and Cleveland,E05012447,E06000003
Hutton,Redcar and Cleveland,E05012444,E06000003
Belmont,Redcar and Cleveland,E05012437,E06000003
Ormesby,Redcar and Cleveland,E05012451,E06000003
Normanby,Redcar and Cleveland,E05012450,E06000003
Grangetown,Redcar and Cleveland,E05012442,E06000003
