Ward Name,La Name,Ward Code,La Code
Renfrew North and Braehead,Renfrewshire,S12000038,S13003075
Renfrew South and Gallowhill,Renfrewshire,S13003076,S12000038
Paisley Southeast,Renfrewshire,S13003080,S12000038
Paisley East and Central,Renfrewshire,S13003079,S12000038
Paisley Northwest,Renfrewshire,S13003078,S12000038
Paisley Northeast and Ralston,Renfrewshire,S13003077,S12000038
Johnstone South and Elderslie,Renfrewshire,S13003082,S12000038
"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",Renfrewshire,S13003083,S12000038
"Bishopton, Bridge of Weir and Langbank",Renfrewshire,S13003085,S12000038
"Houston, Crosslee and Linwood",Renfrewshire,S13003084,S12000038
Paisley Southwest,Renfrewshire,S13003081,S12000038
Erskine and Inchinnan,Renfrewshire,S13003086,S12000038
