Ward Name,La Name,Ward Code,La Code
Richmond West,Richmondshire,E07000166,E05012369
Yoredale,Richmondshire,E05012371,E07000166
Richmond East,Richmondshire,E05012367,E07000166
Hipswell,Richmondshire,E05012361,E07000166
Richmond North,Richmondshire,E05012368,E07000166
Lower Swaledale & Arkengarthdale,Richmondshire,E05012363,E07000166
Melsonby,Richmondshire,E05012365,E07000166
Catterick & Brompton-on-Swale,Richmondshire,E05012356,E07000166
Gilling West,Richmondshire,E05012359,E07000166
Croft & Middleton Tyas,Richmondshire,E05012358,E07000166
Scotton,Richmondshire,E05012370,E07000166
"Hawes, High Abbotside & Upper Swaledale",Richmondshire,E05012360,E07000166
Lower Wensleydale,Richmondshire,E05012364,E07000166
Leyburn,Richmondshire,E05012362,E07000166
Middleham,Richmondshire,E05012366,E07000166
Colburn,Richmondshire,E05012357,E07000166
