Ward Name,La Name,Ward Code,La Code
Helmshore,Rossendale,E07000125,E05005324
Hareholme,Rossendale,E05005322,E07000125
Greenfield,Rossendale,E05005320,E07000125
Worsley,Rossendale,E05005329,E07000125
Longholme,Rossendale,E05005326,E07000125
Eden,Rossendale,E05005317,E07000125
Whitewell,Rossendale,E05005328,E07000125
Cribden,Rossendale,E05005316,E07000125
Goodshaw,Rossendale,E05005319,E07000125
Healey and Whitworth,Rossendale,E05005323,E07000125
Facit and Shawforth,Rossendale,E05005318,E07000125
Greensclough,Rossendale,E05005321,E07000125
Stacksteads,Rossendale,E05005327,E07000125
Irwell,Rossendale,E05005325,E07000125
