Ward Name,La Name,Ward Code,La Code
Bexhill St Marks,Rother,E07000064,E05011611
Robertsbridge,Rother,E05011620,E07000064
Hurst Green & Ticehurst,Rother,E05011617,E07000064
Northern Rother,Rother,E05011619,E07000064
Burwash & the Weald,Rother,E05011614,E07000064
Catsfield & Crowhurst,Rother,E05011615,E07000064
Rye & Winchelsea,Rother,E05011621,E07000064
Brede & Udimore,Rother,E05011613,E07000064
Eastern Rother,Rother,E05011616,E07000064
Sedlescombe & Westfield,Rother,E05011622,E07000064
"North Battle, Netherfield & Whatlington",Rother,E05011618,E07000064
South Battle & Telham,Rother,E05011623,E07000064
Southern Rother,Rother,E05011624,E07000064
Bexhill Pebsham & St Michaels,Rother,E05011608,E07000064
Bexhill Collington,Rother,E05011605,E07000064
Bexhill Central,Rother,E05011604,E07000064
Bexhill Kewhurst,Rother,E05011606,E07000064
Bexhill St Stephens,Rother,E05011612,E07000064
Bexhill Old Town & Worsham,Rother,E05011607,E07000064
Bexhill Sidley,Rother,E05011610,E07000064
Bexhill Sackville,Rother,E05011609,E07000064
