Ward Name,La Name,Ward Code,La Code
Wolvey and Shilton,Rugby,E07000220,E05008988
Revel and Binley Woods,Rugby,E05008984,E07000220
Newbold and Brownsover,Rugby,E05008982,E07000220
New Bilton,Rugby,E05008981,E07000220
Coton and Boughton,Rugby,E05008977,E07000220
Benn,Rugby,E05008974,E07000220
Eastlands,Rugby,E05008986,E07000220
Admirals and Cawston,Rugby,E05010758,E07000220
Paddox,Rugby,E05008983,E07000220
Dunsmore,Rugby,E05010759,E07000220
Hillmorton,Rugby,E05008979,E07000220
Rokeby and Overslade,Rugby,E05008985,E07000220
Bilton,Rugby,E05008975,E07000220
"Clifton, Newton and Churchover",Rugby,E05008976,E07000220
Wolston and the Lawfords,Rugby,E05010760,E07000220
Leam Valley,Rugby,E05008980,E07000220
