Ward Name,La Name,Ward Code,La Code
"Longcross, Lyne & Chertsey South",Runnymede,E07000212,E05012895
Virginia Water,Runnymede,E05012899,E07000212
Addlestone South,Runnymede,E05012888,E07000212
Woodham & Rowtown,Runnymede,E05012900,E07000212
Ottershaw,Runnymede,E05012897,E07000212
Addlestone North,Runnymede,E05012887,E07000212
New Haw,Runnymede,E05012896,E07000212
Chertsey Riverside,Runnymede,E05012889,E07000212
Chertsey St Ann's,Runnymede,E05012890,E07000212
Thorpe,Runnymede,E05012898,E07000212
Englefield Green West,Runnymede,E05012894,E07000212
Egham Hythe,Runnymede,E05012891,E07000212
Egham Town,Runnymede,E05012892,E07000212
Englefield Green East,Runnymede,E05012893,E07000212
