Ward Name,La Name,Ward Code,La Code
Gotham,Rushcliffe,E07000176,E05009720
Leake,Rushcliffe,E05009723,E07000176
Sutton Bonington,Rushcliffe,E05009729,E07000176
Keyworth & Wolds,Rushcliffe,E05009721,E07000176
Bunny,Rushcliffe,E05009711,E07000176
Nevile & Langar,Rushcliffe,E05009726,E07000176
Ruddington,Rushcliffe,E05009728,E07000176
Compton Acres,Rushcliffe,E05009712,E07000176
Lutterell,Rushcliffe,E05009724,E07000176
Radcliffe on Trent,Rushcliffe,E05009727,E07000176
East Bridgford,Rushcliffe,E05009716,E07000176
Bingham West,Rushcliffe,E05009710,E07000176
Cropwell,Rushcliffe,E05009715,E07000176
Cotgrave,Rushcliffe,E05009713,E07000176
Gamston North,Rushcliffe,E05009718,E07000176
Bingham East,Rushcliffe,E05009709,E07000176
Edwalton,Rushcliffe,E05009717,E07000176
Tollerton,Rushcliffe,E05009731,E07000176
Gamston South,Rushcliffe,E05009719,E07000176
Thoroton,Rushcliffe,E05009730,E07000176
Cranmer,Rushcliffe,E05009714,E07000176
Lady Bay,Rushcliffe,E05009722,E07000176
Trent Bridge,Rushcliffe,E05009732,E07000176
Abbey,Rushcliffe,E05009708,E07000176
Musters,Rushcliffe,E05009725,E07000176
