Ward Name,La Name,Ward Code,La Code
Oakham North East,Rutland,E06000017,E05012641
Oakham South,Rutland,E05012643,E06000017
Oakham North West,Rutland,E05012642,E06000017
Barleythorpe,Rutland,E05012632,E06000017
Cottesmore,Rutland,E05012634,E06000017
Exton,Rutland,E05012635,E06000017
Whissendine,Rutland,E05012646,E06000017
Langham,Rutland,E05012638,E06000017
Greetham,Rutland,E05012636,E06000017
Ketton,Rutland,E05012637,E06000017
Braunston & Martinsthorpe,Rutland,E05012633,E06000017
Normanton,Rutland,E05012640,E06000017
Lyddington,Rutland,E05012639,E06000017
Uppingham,Rutland,E05012645,E06000017
Ryhall & Casterton,Rutland,E05012644,E06000017
