Ward Name,La Name,Ward Code,La Code
Danby & Mulgrave,Scarborough,E07000168,E05012375
Castle,Scarborough,E05012373,E07000168
Burniston & Cloughton,Scarborough,E05012372,E07000168
Woodlands,Scarborough,E05012391,E07000168
Northstead,Scarborough,E05012385,E07000168
Newby,Scarborough,E05012384,E07000168
Falsgrave & Stepney,Scarborough,E05012379,E07000168
Weaponness & Ramshill,Scarborough,E05012389,E07000168
Cayton,Scarborough,E05012374,E07000168
Eastfield,Scarborough,E05012377,E07000168
Seamer,Scarborough,E05012387,E07000168
Hunmanby,Scarborough,E05012382,E07000168
Derwent Valley & Moor,Scarborough,E05012376,E07000168
Scalby,Scarborough,E05012386,E07000168
Fylingdales & Ravenscar,Scarborough,E05012381,E07000168
Filey,Scarborough,E05012380,E07000168
Whitby West Cliff,Scarborough,E05012390,E07000168
Mayfield,Scarborough,E05012383,E07000168
Streonshalh,Scarborough,E05012388,E07000168
Esk Valley,Scarborough,E05012378,E07000168
