Ward Name,La Name,Ward Code,La Code
Wedmore and Mark,Sedgemoor,E07000188,E05008914
Cheddar and Shipham,Sedgemoor,E05008905,E07000188
East Polden,Sedgemoor,E05008906,E07000188
Knoll,Sedgemoor,E05008910,E07000188
Berrow,Sedgemoor,E05008894,E07000188
Axevale,Sedgemoor,E05008893,E07000188
North Petherton,Sedgemoor,E05008911,E07000188
Quantocks,Sedgemoor,E05008913,E07000188
Bridgwater Westover,Sedgemoor,E05008900,E07000188
Cannington and Wembdon,Sedgemoor,E05008904,E07000188
Bridgwater Wyndham,Sedgemoor,E05008901,E07000188
Bridgwater Victoria,Sedgemoor,E05008899,E07000188
Bridgwater Fairfax,Sedgemoor,E05008897,E07000188
Bridgwater Eastover,Sedgemoor,E05008896,E07000188
King's Isle,Sedgemoor,E05008909,E07000188
Puriton and Woolavington,Sedgemoor,E05008912,E07000188
Bridgwater Dunwear,Sedgemoor,E05008895,E07000188
Huntspill and Pawlett,Sedgemoor,E05008908,E07000188
Bridgwater Hamp,Sedgemoor,E05008898,E07000188
West Polden,Sedgemoor,E05008915,E07000188
Burnham Central,Sedgemoor,E05008902,E07000188
Burnham North,Sedgemoor,E05008903,E07000188
Highbridge and Burnham Marine,Sedgemoor,E05008907,E07000188
