Ward Name,La Name,Ward Code,La Code
Whitley,Selby,E07000169,E05010062
Eggborough,Selby,E05010051,E07000169
Camblesforth & Carlton,Selby,E05010048,E07000169
Monk Fryston,Selby,E05010054,E07000169
Derwent,Selby,E05010050,E07000169
Tadcaster,Selby,E05010060,E07000169
Appleton Roebuck & Church Fenton,Selby,E05010044,E07000169
Cawood & Wistow,Selby,E05010049,E07000169
South Milford,Selby,E05010059,E07000169
Sherburn in Elmet,Selby,E05010058,E07000169
Byram & Brotherton,Selby,E05010047,E07000169
Selby West,Selby,E05010057,E07000169
Riccall,Selby,E05010055,E07000169
Escrick,Selby,E05010052,E07000169
Selby East,Selby,E05010056,E07000169
Thorpe Willoughby,Selby,E05010061,E07000169
Barlby Village,Selby,E05010045,E07000169
Brayton,Selby,E05010046,E07000169
Hambleton,Selby,E05010053,E07000169
