Ward Name,La Name,Ward Code,La Code
"Halstead, Knockholt and Badgers Mount",Sevenoaks,E07000111,E05005018
Crockenhill and Well Hill,Sevenoaks,E05005011,E07000111
Swanley St Mary's,Sevenoaks,E05005031,E07000111
Swanley White Oak,Sevenoaks,E05005032,E07000111
Hextable,Sevenoaks,E05009960,E07000111
Swanley Christchurch and Swanley Village,Sevenoaks,E05009964,E07000111
"Farningham, Horton Kirby and South Darenth",Sevenoaks,E05005016,E07000111
Eynsford,Sevenoaks,E05009958,E07000111
Hartley and Hodsoll Street,Sevenoaks,E05009959,E07000111
Fawkham and West Kingsdown,Sevenoaks,E05005017,E07000111
Ash and New Ash Green,Sevenoaks,E05009956,E07000111
"Penshurst, Fordcombe and Chiddingstone",Sevenoaks,E05009963,E07000111
Leigh and Chiddingstone Causeway,Sevenoaks,E05009961,E07000111
Seal and Weald,Sevenoaks,E05011559,E07000111
Sevenoaks Town and St John's,Sevenoaks,E05005029,E07000111
Sevenoaks Kippington,Sevenoaks,E05005027,E07000111
Dunton Green and Riverhead,Sevenoaks,E05005012,E07000111
"Brasted, Chevening and Sundridge",Sevenoaks,E05011558,E07000111
Sevenoaks Northern,Sevenoaks,E05005028,E07000111
Sevenoaks Eastern,Sevenoaks,E05005026,E07000111
Otford and Shoreham,Sevenoaks,E05009962,E07000111
Kemsing,Sevenoaks,E05005021,E07000111
Westerham and Crockham Hill,Sevenoaks,E05009965,E07000111
Edenbridge South and West,Sevenoaks,E05005014,E07000111
Edenbridge North and East,Sevenoaks,E05005013,E07000111
Cowden and Hever,Sevenoaks,E05005010,E07000111
