Ward Name,La Name,Ward Code,La Code
City,Sheffield,E08000019,E05010862
Nether Edge and Sharrow,Sheffield,E05010875,E08000019
Walkley,Sheffield,E05010882,E08000019
Broomhill and Sharrow Vale,Sheffield,E05010860,E08000019
Manor Castle,Sheffield,E05010873,E08000019
Gleadless Valley,Sheffield,E05010870,E08000019
Burngreave,Sheffield,E05010861,E08000019
Stannington,Sheffield,E05010880,E08000019
Fulwood,Sheffield,E05010869,E08000019
Park and Arbourthorne,Sheffield,E05010876,E08000019
Crookes and Crosspool,Sheffield,E05010863,E08000019
Ecclesall,Sheffield,E05010867,E08000019
Dore and Totley,Sheffield,E05010865,E08000019
Richmond,Sheffield,E05010877,E08000019
Birley,Sheffield,E05010859,E08000019
Mosborough,Sheffield,E05010874,E08000019
Beighton,Sheffield,E05010858,E08000019
Woodhouse,Sheffield,E05010884,E08000019
Graves Park,Sheffield,E05010871,E08000019
Beauchief and Greenhill,Sheffield,E05010857,E08000019
Darnall,Sheffield,E05010864,E08000019
Hillsborough,Sheffield,E05010872,E08000019
Stocksbridge and Upper Don,Sheffield,E05010881,E08000019
West Ecclesfield,Sheffield,E05010883,E08000019
Southey,Sheffield,E05010879,E08000019
East Ecclesfield,Sheffield,E05010866,E08000019
Shiregreen and Brightside,Sheffield,E05010878,E08000019
Firth Park,Sheffield,E05010868,E08000019
