Ward Name,La Name,Ward Code,La Code
Central,Slough,E06000039,E05009339
Langley St Mary's,Slough,E05009349,E06000039
Chalvey,Slough,E05009340,E06000039
Upton,Slough,E05009350,E06000039
Elliman,Slough,E05009344,E06000039
Cippenham Meadows,Slough,E05009342,E06000039
Farnham,Slough,E05009345,E06000039
Baylis and Stoke,Slough,E05009337,E06000039
Cippenham Green,Slough,E05009341,E06000039
Haymill and Lynch Hill,Slough,E05009347,E06000039
Britwell and Northborough,Slough,E05009338,E06000039
Wexham Lea,Slough,E05009351,E06000039
Colnbrook with Poyle,Slough,E05009343,E06000039
Langley Kedermister,Slough,E05009348,E06000039
Foxborough,Slough,E05009346,E06000039
