Ward Name,La Name,Ward Code,La Code
Hatch & Blackdown,Somerset West and Taunton,E07000246,E05012814
Dulverton & District,Somerset West and Taunton,E05012811,E07000246
Porlock & District,Somerset West and Taunton,E05012825,E07000246
Exmoor,Somerset West and Taunton,E05012812,E07000246
North Town,Somerset West and Taunton,E05012821,E07000246
Victoria,Somerset West and Taunton,E05012831,E07000246
Priorswood,Somerset West and Taunton,E05012826,E07000246
Blackbrook & Holway,Somerset West and Taunton,E05012807,E07000246
Halcon & Lane,Somerset West and Taunton,E05012813,E07000246
West Monkton & Cheddon Fitzpaine,Somerset West and Taunton,E05012838,E07000246
Vivary,Somerset West and Taunton,E05012832,E07000246
Wilton & Sherford,Somerset West and Taunton,E05012839,E07000246
Manor & Tangier,Somerset West and Taunton,E05012815,E07000246
North Curry & Ruishton,Somerset West and Taunton,E05012820,E07000246
Comeytrowe & Bishop's Hull,Somerset West and Taunton,E05012808,E07000246
"Trull, Pitminster & Corfe",Somerset West and Taunton,E05012830,E07000246
Watchet & Williton,Somerset West and Taunton,E05012833,E07000246
Wellsprings & Rowbarton,Somerset West and Taunton,E05012837,E07000246
Norton Fitzwarren & Staplegrove,Somerset West and Taunton,E05012822,E07000246
South Quantock,Somerset West and Taunton,E05012829,E07000246
Creech St Michael,Somerset West and Taunton,E05012810,E07000246
Wellington North,Somerset West and Taunton,E05012835,E07000246
Milverton & District,Somerset West and Taunton,E05012816,E07000246
Rockwell Green,Somerset West and Taunton,E05012828,E07000246
Monument,Somerset West and Taunton,E05012819,E07000246
Wiveliscombe & District,Somerset West and Taunton,E05012840,E07000246
Wellington South,Somerset West and Taunton,E05012836,E07000246
Wellington East,Somerset West and Taunton,E05012834,E07000246
Old Cleeve & District,Somerset West and Taunton,E05012823,E07000246
Minehead North,Somerset West and Taunton,E05012818,E07000246
Minehead Central,Somerset West and Taunton,E05012817,E07000246
Periton & Woodcombe,Somerset West and Taunton,E05012824,E07000246
Alcombe,Somerset West and Taunton,E05012806,E07000246
Cotford St Luke & Oake,Somerset West and Taunton,E05012809,E07000246
Quantock Vale,Somerset West and Taunton,E05012827,E07000246
