Ward Name,La Name,Ward Code,La Code
Cambourne,South Cambridgeshire,E07000012,E05011287
Fen Ditton & Fulbourn,South Cambridgeshire,E05011291,E07000012
Shelford,South Cambridgeshire,E05011304,E07000012
Balsham,South Cambridgeshire,E05011282,E07000012
Linton,South Cambridgeshire,E05011298,E07000012
Duxford,South Cambridgeshire,E05011290,E07000012
Sawston,South Cambridgeshire,E05011303,E07000012
Whittlesford,South Cambridgeshire,E05011307,E07000012
Barrington,South Cambridgeshire,E05011284,E07000012
Harston & Comberton,South Cambridgeshire,E05011296,E07000012
Longstanton,South Cambridgeshire,E05011299,E07000012
Foxton,South Cambridgeshire,E05011292,E07000012
Caldecote,South Cambridgeshire,E05011286,E07000012
Hardwick,South Cambridgeshire,E05011295,E07000012
Caxton & Papworth,South Cambridgeshire,E05011288,E07000012
Girton,South Cambridgeshire,E05011294,E07000012
Bar Hill,South Cambridgeshire,E05011283,E07000012
Swavesey,South Cambridgeshire,E05011305,E07000012
Over & Willingham,South Cambridgeshire,E05011302,E07000012
Milton & Waterbeach,South Cambridgeshire,E05011301,E07000012
Cottenham,South Cambridgeshire,E05011289,E07000012
Histon & Impington,South Cambridgeshire,E05011297,E07000012
Gamlingay,South Cambridgeshire,E05011293,E07000012
The Mordens,South Cambridgeshire,E05011306,E07000012
Melbourn,South Cambridgeshire,E05011300,E07000012
Bassingbourn,South Cambridgeshire,E05011285,E07000012
