Ward Name,La Name,Ward Code,La Code
Etwall,South Derbyshire,E07000039,E05008811
Swadlincote,South Derbyshire,E05008821,E07000039
Midway,South Derbyshire,E05008816,E07000039
Newhall and Stanton,South Derbyshire,E05008817,E07000039
Repton,South Derbyshire,E05008818,E07000039
Woodville,South Derbyshire,E05008823,E07000039
Church Gresley,South Derbyshire,E05008810,E07000039
Linton,South Derbyshire,E05008814,E07000039
Seales,South Derbyshire,E05008819,E07000039
Hatton,South Derbyshire,E05008812,E07000039
Stenson,South Derbyshire,E05008820,E07000039
Aston,South Derbyshire,E05008809,E07000039
Willington and Findern,South Derbyshire,E05008822,E07000039
Hilton,South Derbyshire,E05008813,E07000039
Melbourne,South Derbyshire,E05008815,E07000039
