Ward Name,La Name,Ward Code,La Code
Boyd Valley,South Gloucestershire,E06000025,E05012105
Bitton & Oldland Common,South Gloucestershire,E05012104,E06000025
Charlton & Cribbs,South Gloucestershire,E05012109,E06000025
Pilning & Severn Beach,South Gloucestershire,E05012122,E06000025
Bradley Stoke North,South Gloucestershire,E05012106,E06000025
Severn Vale,South Gloucestershire,E05012123,E06000025
Bradley Stoke South,South Gloucestershire,E05012107,E06000025
Thornbury,South Gloucestershire,E05012127,E06000025
Frampton Cotterell,South Gloucestershire,E05012114,E06000025
Patchway Coniston,South Gloucestershire,E05012121,E06000025
Stoke Gifford,South Gloucestershire,E05012125,E06000025
Filton,South Gloucestershire,E05012113,E06000025
Stoke Park & Cheswick,South Gloucestershire,E05012126,E06000025
Kingswood,South Gloucestershire,E05012117,E06000025
New Cheltenham,South Gloucestershire,E05012119,E06000025
Hanham,South Gloucestershire,E05012116,E06000025
Woodstock,South Gloucestershire,E05012129,E06000025
Parkwall & Warmley,South Gloucestershire,E05012120,E06000025
Longwell Green,South Gloucestershire,E05012118,E06000025
Staple Hill & Mangotsfield,South Gloucestershire,E05012124,E06000025
Frenchay & Downend,South Gloucestershire,E05012115,E06000025
Winterbourne,South Gloucestershire,E05012128,E06000025
Emersons Green,South Gloucestershire,E05012112,E06000025
Yate Central,South Gloucestershire,E05012130,E06000025
Dodington,South Gloucestershire,E05012111,E06000025
Yate North,South Gloucestershire,E05012131,E06000025
Chipping Sodbury & Cotswold Edge,South Gloucestershire,E05012110,E06000025
Charfield,South Gloucestershire,E05012108,E06000025
