Ward Name,La Name,Ward Code,La Code
Pinchbeck and Surfleet,South Holland,E07000140,E05005652
Crowland and Deeping St Nicholas,South Holland,E05005644,E07000140
Spalding St John's,South Holland,E05005655,E07000140
Spalding Castle,South Holland,E05005653,E07000140
Spalding Wygate,South Holland,E05005658,E07000140
Spalding Monks House,South Holland,E05005654,E07000140
Spalding St Mary's,South Holland,E05005656,E07000140
Spalding St Paul's,South Holland,E05005657,E07000140
"Donington, Quadring and Gosberton",South Holland,E05005645,E07000140
Gedney,South Holland,E05005647,E07000140
Fleet,South Holland,E05005646,E07000140
The Saints,South Holland,E05005660,E07000140
Long Sutton,South Holland,E05005650,E07000140
"Moulton, Weston and Cowbit",South Holland,E05005651,E07000140
Whaplode and Holbeach St John's,South Holland,E05005661,E07000140
Holbeach Town,South Holland,E05005649,E07000140
Holbeach Hurn,South Holland,E05005648,E07000140
Sutton Bridge,South Holland,E05005659,E07000140
