Ward Name,La Name,Ward Code,La Code
Sedbergh & Kirkby Lonsdale,South Lakeland,E07000031,E05011504
Kendal Rural,South Lakeland,E05011500,E07000031
Grange,South Lakeland,E05011497,E07000031
Cartmel,South Lakeland,E05011495,E07000031
Bowness & Levens,South Lakeland,E05011492,E07000031
Broughton & Coniston,South Lakeland,E05011493,E07000031
Ulverston East,South Lakeland,E05011505,E07000031
Ulverston West,South Lakeland,E05011506,E07000031
Furness Peninsula,South Lakeland,E05011496,E07000031
Ambleside & Grasmere,South Lakeland,E05011490,E07000031
Windermere,South Lakeland,E05011507,E07000031
Arnside & Milnthorpe,South Lakeland,E05011491,E07000031
Burton & Crooklands,South Lakeland,E05011494,E07000031
Kendal Town,South Lakeland,E05011502,E07000031
Kendal South & Natland,South Lakeland,E05011501,E07000031
Kendal North,South Lakeland,E05011499,E07000031
Kendal West,South Lakeland,E05011503,E07000031
Kendal East,South Lakeland,E05011498,E07000031
