Ward Name,La Name,Ward Code,La Code
Clydesdale East,South Lanarkshire,S12000029,S13003097
Clydesdale North,South Lanarkshire,S13003096,S12000029
Rutherglen Central and North,South Lanarkshire,S13003106,S12000029
Bothwell and Uddingston,South Lanarkshire,S13003110,S12000029
Blantyre,South Lanarkshire,S13003109,S12000029
Hamilton West and Earnock,South Lanarkshire,S13003112,S12000029
Hamilton North and East,South Lanarkshire,S13003111,S12000029
Cambuslang East,South Lanarkshire,S13003108,S12000029
Rutherglen South,South Lanarkshire,S13003105,S12000029
Cambuslang West,South Lanarkshire,S13003107,S12000029
East Kilbride East,South Lanarkshire,S13003104,S12000029
East Kilbride West,South Lanarkshire,S13003103,S12000029
East Kilbride Central North,South Lanarkshire,S13003102,S12000029
East Kilbride Central South,South Lanarkshire,S13003101,S12000029
Avondale and Stonehouse,South Lanarkshire,S13003099,S12000029
East Kilbride South,South Lanarkshire,S13003100,S12000029
Larkhall,South Lanarkshire,S13003114,S12000029
Clydesdale South,South Lanarkshire,S13003098,S12000029
Clydesdale West,South Lanarkshire,S13003095,S12000029
Hamilton South,South Lanarkshire,S13003113,S12000029
