Ward Name,La Name,Ward Code,La Code
Ditchingham & Earsham,South Norfolk,E07000149,E05012851
Harleston,South Norfolk,E05012852,E07000149
"Beck Vale, Dickleburgh & Scole",South Norfolk,E05011866,E07000149
Diss & Roydon,South Norfolk,E05011872,E07000149
Bressingham & Burston,South Norfolk,E05011867,E07000149
"Poringland, Framinghams & Trowse",South Norfolk,E05011886,E07000149
Thurlton,South Norfolk,E05011890,E07000149
Loddon & Chedgrave,South Norfolk,E05011880,E07000149
Rockland,South Norfolk,E05011887,E07000149
Brooke,South Norfolk,E05011868,E07000149
Mulbarton & Stoke Holy Cross,South Norfolk,E05011881,E07000149
Newton Flotman,South Norfolk,E05011883,E07000149
Forncett,South Norfolk,E05011875,E07000149
Hempnall,South Norfolk,E05011877,E07000149
Bunwell,South Norfolk,E05011869,E07000149
Stratton,South Norfolk,E05011889,E07000149
Central Wymondham,South Norfolk,E05011870,E07000149
South Wymondham,South Norfolk,E05011888,E07000149
North Wymondham,South Norfolk,E05011884,E07000149
Wicklewood,South Norfolk,E05011891,E07000149
Hingham & Deopham,South Norfolk,E05011879,E07000149
Cringleford,South Norfolk,E05011871,E07000149
Hethersett,South Norfolk,E05011878,E07000149
New Costessey,South Norfolk,E05011882,E07000149
Old Costessey,South Norfolk,E05011885,E07000149
Easton,South Norfolk,E05011874,E07000149
