Ward Name,La Name,Ward Code,La Code
Blenheim Park,Southend-on-Sea,E06000033,E05002213
Prittlewell,Southend-on-Sea,E05002219,E06000033
Victoria,Southend-on-Sea,E05002225,E06000033
St Laurence,Southend-on-Sea,E05002220,E06000033
Westborough,Southend-on-Sea,E05002226,E06000033
Milton,Southend-on-Sea,E05002218,E06000033
Chalkwell,Southend-on-Sea,E05002214,E06000033
Kursaal,Southend-on-Sea,E05002216,E06000033
Thorpe,Southend-on-Sea,E05002224,E06000033
Southchurch,Southend-on-Sea,E05002223,E06000033
West Shoebury,Southend-on-Sea,E05002228,E06000033
St. Luke's,Southend-on-Sea,E05002221,E06000033
Shoeburyness,Southend-on-Sea,E05002222,E06000033
Belfairs,Southend-on-Sea,E05002212,E06000033
Leigh,Southend-on-Sea,E05002217,E06000033
West Leigh,Southend-on-Sea,E05002227,E06000033
Eastwood Park,Southend-on-Sea,E05002215,E06000033
