Ward Name,La Name,Ward Code,La Code
Shepperton Town,Spelthorne,E07000213,E05007369
Sunbury East,Spelthorne,E05007374,E07000213
Ashford North and Stanwell South,Spelthorne,E05007364,E07000213
Ashford East,Spelthorne,E05007363,E07000213
Ashford Common,Spelthorne,E05007362,E07000213
Laleham and Shepperton Green,Spelthorne,E05007367,E07000213
Ashford Town,Spelthorne,E05007365,E07000213
Staines South,Spelthorne,E05007371,E07000213
Sunbury Common,Spelthorne,E05007373,E07000213
Halliford and Sunbury West,Spelthorne,E05007366,E07000213
Staines,Spelthorne,E05007370,E07000213
Riverside and Laleham,Spelthorne,E05007368,E07000213
Stanwell North,Spelthorne,E05007372,E07000213
